Date,Machine_ID,Line,Shift,Downtime_Reason,Downtime_Minutes,Production_Rate_Units_Per_Hour,Profit_Per_Unit_USD
2025-10-29,CNC-301,Line C,Afternoon,Operator Break / Shift Change,20,27,9.38
2025-09-29,CNC-101,Line A,Morning,Material Shortage,75,45,5.97
2025-09-01,CNC-102,Line A,Morning,Changeover / Setup,51,38,8.22
2025-09-28,CNC-301,Line C,Night,Material Shortage,88,31,9.03
2025-09-09,CNC-201,Line B,Morning,Quality Hold / Inspection,24,53,8.84
2025-07-22,CNC-101,Line A,Morning,Operator Break / Shift Change,20,45,5.92
2025-08-26,CNC-101,Line A,Afternoon,Changeover / Setup,22,44,8.54
2025-06-29,CNC-201,Line B,Night,Tool Change / Wear,18,55,6.56
2025-03-27,CNC-101,Line A,Night,Unplanned Breakdown,165,44,5.52
2025-06-12,CNC-102,Line A,Afternoon,Unplanned Breakdown,76,37,8.05
2025-10-18,CNC-102,Line A,Afternoon,Material Shortage,54,40,6.29
2025-08-22,CNC-202,Line B,Night,Preventive Maintenance,85,48,7.29
2025-01-14,CNC-301,Line C,Morning,Operator Break / Shift Change,18,29,9.16
2025-06-03,CNC-301,Line C,Afternoon,Operator Break / Shift Change,18,29,7.8
2025-09-07,CNC-301,Line C,Morning,Unplanned Breakdown,176,31,8.98
2025-05-28,CNC-301,Line C,Morning,Quality Hold / Inspection,18,33,9.48
2025-01-23,CNC-202,Line B,Night,Tool Change / Wear,21,53,6.6
2025-06-08,CNC-101,Line A,Morning,Preventive Maintenance,81,44,9.41
2025-10-06,CNC-202,Line B,Morning,Changeover / Setup,23,50,6.44
2025-11-11,CNC-202,Line B,Morning,Operator Break / Shift Change,12,47,5.0
2025-11-09,CNC-102,Line A,Afternoon,Tool Change / Wear,17,37,6.97
2025-10-28,CNC-301,Line C,Afternoon,Quality Hold / Inspection,24,33,7.33
2025-08-29,CNC-301,Line C,Morning,Quality Hold / Inspection,29,28,7.93
2025-11-15,CNC-301,Line C,Afternoon,Preventive Maintenance,50,32,4.83
2025-06-13,CNC-102,Line A,Afternoon,Preventive Maintenance,73,36,9.3
2025-02-03,CNC-301,Line C,Afternoon,Preventive Maintenance,75,29,4.66
2025-03-18,CNC-301,Line C,Afternoon,Tool Change / Wear,29,30,7.9
2025-10-11,CNC-201,Line B,Afternoon,Tool Change / Wear,20,57,4.75
2025-03-02,CNC-301,Line C,Afternoon,Quality Hold / Inspection,20,31,7.47
2025-02-17,CNC-101,Line A,Afternoon,Tool Change / Wear,41,42,7.58
2025-09-23,CNC-201,Line B,Afternoon,Material Shortage,44,56,7.48
2025-12-30,CNC-102,Line A,Afternoon,Operator Break / Shift Change,12,35,7.57
2025-06-21,CNC-301,Line C,Afternoon,Material Shortage,96,31,7.12
2025-01-01,CNC-101,Line A,Morning,Tool Change / Wear,38,41,5.72
2025-04-29,CNC-102,Line A,Morning,Material Shortage,59,41,6.53
2025-10-26,CNC-301,Line C,Morning,Changeover / Setup,38,33,8.73
2025-01-02,CNC-101,Line A,Morning,Unplanned Breakdown,174,43,5.89
2025-10-09,CNC-102,Line A,Night,Quality Hold / Inspection,33,40,5.52
2025-04-15,CNC-102,Line A,Night,Tool Change / Wear,34,40,7.83
2025-04-10,CNC-201,Line B,Night,Material Shortage,36,54,9.21
2025-07-17,CNC-201,Line B,Morning,Preventive Maintenance,50,55,6.32
2025-07-09,CNC-201,Line B,Night,Unplanned Breakdown,231,57,8.37
2025-09-17,CNC-101,Line A,Night,Unplanned Breakdown,108,41,9.12
2025-09-05,CNC-202,Line B,Morning,Unplanned Breakdown,109,48,4.66
2025-10-18,CNC-301,Line C,Afternoon,Tool Change / Wear,23,28,5.06
2025-02-09,CNC-102,Line A,Afternoon,Unplanned Breakdown,165,35,6.09
2025-03-08,CNC-101,Line A,Morning,Preventive Maintenance,54,45,6.69
2025-07-07,CNC-102,Line A,Morning,Preventive Maintenance,79,38,4.96
2025-05-21,CNC-101,Line A,Morning,Operator Break / Shift Change,14,39,5.53
2025-06-16,CNC-102,Line A,Morning,Operator Break / Shift Change,14,36,5.25
2025-03-27,CNC-201,Line B,Morning,Operator Break / Shift Change,17,56,6.38
2025-04-01,CNC-102,Line A,Morning,Tool Change / Wear,41,38,8.44
2025-08-16,CNC-301,Line C,Night,Operator Break / Shift Change,19,29,9.15
2025-03-28,CNC-201,Line B,Night,Changeover / Setup,38,57,5.54
2025-11-03,CNC-301,Line C,Night,Operator Break / Shift Change,14,29,7.93
2025-11-22,CNC-101,Line A,Morning,Quality Hold / Inspection,48,41,6.98
2025-11-12,CNC-101,Line A,Morning,Changeover / Setup,29,41,7.61
2025-03-19,CNC-201,Line B,Morning,Quality Hold / Inspection,18,58,5.12
2025-03-04,CNC-101,Line A,Afternoon,Material Shortage,97,43,7.55
2025-12-30,CNC-102,Line A,Afternoon,Tool Change / Wear,25,36,6.56
2025-02-05,CNC-201,Line B,Morning,Material Shortage,71,56,5.75
2025-03-23,CNC-201,Line B,Afternoon,Preventive Maintenance,67,52,4.75
2025-01-30,CNC-202,Line B,Night,Quality Hold / Inspection,30,52,6.88
2025-06-12,CNC-202,Line B,Morning,Preventive Maintenance,46,48,5.46
2025-07-02,CNC-101,Line A,Night,Preventive Maintenance,72,45,7.43
2025-02-17,CNC-202,Line B,Afternoon,Changeover / Setup,32,47,9.25
2025-11-23,CNC-102,Line A,Night,Quality Hold / Inspection,34,35,7.73
2025-03-01,CNC-202,Line B,Afternoon,Preventive Maintenance,65,53,9.35
2025-01-10,CNC-301,Line C,Night,Quality Hold / Inspection,19,30,8.54
2025-03-09,CNC-301,Line C,Afternoon,Preventive Maintenance,74,27,5.05
2025-07-01,CNC-101,Line A,Morning,Operator Break / Shift Change,16,39,5.77
2025-10-10,CNC-202,Line B,Night,Changeover / Setup,22,50,5.09
2025-10-03,CNC-202,Line B,Afternoon,Quality Hold / Inspection,42,51,9.09
2025-03-25,CNC-301,Line C,Morning,Operator Break / Shift Change,19,29,6.87
2025-12-06,CNC-102,Line A,Afternoon,Quality Hold / Inspection,38,39,5.5
2025-12-14,CNC-301,Line C,Afternoon,Operator Break / Shift Change,20,32,6.3
2025-07-02,CNC-202,Line B,Afternoon,Preventive Maintenance,65,51,8.91
2025-01-15,CNC-102,Line A,Night,Unplanned Breakdown,235,40,8.76
2025-07-11,CNC-201,Line B,Afternoon,Changeover / Setup,58,52,5.91
2025-01-20,CNC-201,Line B,Afternoon,Operator Break / Shift Change,12,56,7.35
2025-10-04,CNC-301,Line C,Morning,Changeover / Setup,55,27,7.86
2025-05-21,CNC-301,Line C,Afternoon,Unplanned Breakdown,120,29,5.8
2025-10-24,CNC-201,Line B,Night,Changeover / Setup,42,55,6.93
2025-06-07,CNC-102,Line A,Afternoon,Quality Hold / Inspection,29,39,4.8
2025-04-18,CNC-101,Line A,Night,Tool Change / Wear,22,40,9.01
2025-10-29,CNC-102,Line A,Morning,Changeover / Setup,21,38,7.59
2025-07-18,CNC-101,Line A,Night,Preventive Maintenance,87,45,9.34
2025-08-30,CNC-101,Line A,Morning,Unplanned Breakdown,133,39,6.22
2025-09-03,CNC-101,Line A,Night,Preventive Maintenance,54,42,9.35
2025-03-12,CNC-102,Line A,Morning,Operator Break / Shift Change,17,35,5.97
2025-07-30,CNC-101,Line A,Night,Material Shortage,44,41,4.84
2025-12-06,CNC-201,Line B,Morning,Material Shortage,64,56,7.5
2025-07-17,CNC-102,Line A,Morning,Unplanned Breakdown,210,40,8.79
2025-06-02,CNC-202,Line B,Morning,Operator Break / Shift Change,13,48,6.76
2025-03-24,CNC-101,Line A,Afternoon,Preventive Maintenance,80,40,6.31
2025-06-18,CNC-301,Line C,Morning,Preventive Maintenance,84,27,6.86
2025-03-22,CNC-102,Line A,Morning,Material Shortage,89,36,6.2
2025-03-25,CNC-101,Line A,Afternoon,Tool Change / Wear,16,40,8.07
2025-06-23,CNC-202,Line B,Morning,Preventive Maintenance,52,49,5.07
2025-02-10,CNC-201,Line B,Morning,Changeover / Setup,34,57,4.95
2025-04-09,CNC-101,Line A,Morning,Material Shortage,106,44,8.02
2025-09-07,CNC-101,Line A,Afternoon,Quality Hold / Inspection,33,42,5.33
2025-12-02,CNC-202,Line B,Afternoon,Material Shortage,44,50,4.7
2025-07-10,CNC-102,Line A,Afternoon,Preventive Maintenance,49,39,8.61
2025-12-29,CNC-301,Line C,Morning,Changeover / Setup,29,28,5.78
2025-03-28,CNC-201,Line B,Night,Material Shortage,70,55,6.24
2025-06-10,CNC-102,Line A,Afternoon,Changeover / Setup,46,37,6.42
2025-06-06,CNC-202,Line B,Morning,Changeover / Setup,34,53,5.84
2025-09-13,CNC-101,Line A,Night,Operator Break / Shift Change,17,42,8.54
2025-01-07,CNC-301,Line C,Night,Preventive Maintenance,53,28,7.8
2025-11-02,CNC-201,Line B,Afternoon,Tool Change / Wear,34,57,6.31
2025-02-10,CNC-301,Line C,Afternoon,Changeover / Setup,47,28,5.72
2025-03-23,CNC-201,Line B,Morning,Material Shortage,93,54,6.99
2025-11-15,CNC-202,Line B,Morning,Changeover / Setup,23,52,5.72
2025-04-25,CNC-201,Line B,Afternoon,Tool Change / Wear,39,53,7.79
2025-08-23,CNC-101,Line A,Morning,Operator Break / Shift Change,16,39,5.33
2025-11-30,CNC-102,Line A,Night,Quality Hold / Inspection,17,35,5.77
2025-02-09,CNC-202,Line B,Night,Material Shortage,34,48,7.01
2025-03-27,CNC-101,Line A,Afternoon,Tool Change / Wear,21,39,6.71
2025-07-09,CNC-102,Line A,Morning,Tool Change / Wear,20,41,7.19
2025-07-22,CNC-101,Line A,Night,Preventive Maintenance,81,44,4.59
2025-11-02,CNC-102,Line A,Afternoon,Unplanned Breakdown,67,35,8.32
2025-01-30,CNC-301,Line C,Afternoon,Quality Hold / Inspection,16,27,5.97
2025-08-16,CNC-202,Line B,Morning,Unplanned Breakdown,155,53,4.95
2025-09-01,CNC-101,Line A,Night,Unplanned Breakdown,110,43,9.33
2025-01-23,CNC-102,Line A,Night,Tool Change / Wear,19,36,5.66
2025-01-20,CNC-201,Line B,Afternoon,Preventive Maintenance,45,54,5.93
2025-03-07,CNC-102,Line A,Night,Material Shortage,66,41,6.41
2025-11-05,CNC-201,Line B,Night,Changeover / Setup,43,53,8.59
2025-05-18,CNC-301,Line C,Night,Preventive Maintenance,88,32,5.08
2025-12-15,CNC-101,Line A,Night,Quality Hold / Inspection,25,43,5.54
2025-07-23,CNC-102,Line A,Morning,Preventive Maintenance,47,41,7.16
2025-12-10,CNC-102,Line A,Night,Material Shortage,68,39,8.57
2025-12-10,CNC-101,Line A,Night,Material Shortage,118,42,8.84
2025-05-16,CNC-102,Line A,Afternoon,Operator Break / Shift Change,13,35,5.72
2025-01-09,CNC-202,Line B,Afternoon,Preventive Maintenance,81,50,5.71
2025-06-29,CNC-101,Line A,Night,Quality Hold / Inspection,30,39,6.8
2025-03-17,CNC-301,Line C,Afternoon,Operator Break / Shift Change,11,31,7.21
2025-06-26,CNC-301,Line C,Afternoon,Quality Hold / Inspection,43,28,7.56
2025-05-13,CNC-101,Line A,Morning,Changeover / Setup,33,43,7.53
2025-07-20,CNC-202,Line B,Night,Material Shortage,116,50,6.9
2025-09-12,CNC-102,Line A,Night,Operator Break / Shift Change,18,35,6.92
2025-10-29,CNC-201,Line B,Morning,Tool Change / Wear,25,52,7.54
2025-05-21,CNC-102,Line A,Morning,Tool Change / Wear,19,40,5.9
2025-04-23,CNC-102,Line A,Afternoon,Changeover / Setup,38,40,7.97
2025-12-23,CNC-102,Line A,Morning,Tool Change / Wear,17,35,6.62
2025-08-31,CNC-101,Line A,Morning,Preventive Maintenance,62,39,6.82
2025-07-27,CNC-202,Line B,Morning,Quality Hold / Inspection,26,52,6.97
2025-12-26,CNC-102,Line A,Morning,Tool Change / Wear,18,39,6.24
2025-08-07,CNC-301,Line C,Morning,Material Shortage,51,28,8.77
2025-03-27,CNC-102,Line A,Morning,Material Shortage,37,40,5.19
2025-03-27,CNC-202,Line B,Night,Preventive Maintenance,66,51,6.27
2025-07-03,CNC-301,Line C,Night,Operator Break / Shift Change,16,32,8.24
2025-04-14,CNC-202,Line B,Morning,Unplanned Breakdown,95,52,7.23
2025-08-26,CNC-202,Line B,Morning,Changeover / Setup,47,50,9.15
2025-01-01,CNC-301,Line C,Night,Tool Change / Wear,32,28,8.08
2025-06-03,CNC-202,Line B,Night,Changeover / Setup,33,48,6.55
2025-06-10,CNC-102,Line A,Night,Preventive Maintenance,51,41,5.93
2025-06-27,CNC-202,Line B,Night,Operator Break / Shift Change,19,47,6.66
2025-01-23,CNC-102,Line A,Afternoon,Unplanned Breakdown,240,36,4.82
2025-09-19,CNC-301,Line C,Morning,Operator Break / Shift Change,10,27,6.42
2025-07-03,CNC-102,Line A,Night,Changeover / Setup,42,40,5.16
2025-03-21,CNC-101,Line A,Night,Operator Break / Shift Change,19,41,8.71
2025-01-18,CNC-102,Line A,Night,Preventive Maintenance,70,40,9.41
2025-05-10,CNC-301,Line C,Afternoon,Operator Break / Shift Change,12,30,4.85
2025-08-16,CNC-201,Line B,Morning,Unplanned Breakdown,222,55,6.12
2025-12-04,CNC-201,Line B,Morning,Operator Break / Shift Change,19,53,5.56
2025-04-19,CNC-201,Line B,Afternoon,Quality Hold / Inspection,35,52,7.67
2025-03-13,CNC-102,Line A,Morning,Material Shortage,86,38,6.2
2025-04-22,CNC-102,Line A,Afternoon,Tool Change / Wear,20,38,5.88
2025-04-02,CNC-101,Line A,Night,Operator Break / Shift Change,14,44,5.43
2025-03-01,CNC-102,Line A,Night,Quality Hold / Inspection,19,36,9.26
2025-06-02,CNC-201,Line B,Night,Material Shortage,42,58,6.9
2025-02-06,CNC-101,Line A,Afternoon,Quality Hold / Inspection,26,42,7.09
2025-03-12,CNC-101,Line A,Afternoon,Changeover / Setup,31,45,8.4
2025-01-20,CNC-301,Line C,Night,Preventive Maintenance,75,33,9.01
2025-04-14,CNC-102,Line A,Afternoon,Preventive Maintenance,71,37,5.26
2025-12-28,CNC-301,Line C,Night,Changeover / Setup,33,28,8.65
2025-10-13,CNC-101,Line A,Morning,Unplanned Breakdown,142,45,9.32
2025-09-19,CNC-201,Line B,Night,Preventive Maintenance,65,54,5.21
2025-02-06,CNC-201,Line B,Afternoon,Quality Hold / Inspection,25,54,6.56
2025-04-14,CNC-301,Line C,Morning,Operator Break / Shift Change,10,33,4.53
2025-11-28,CNC-101,Line A,Afternoon,Tool Change / Wear,37,43,6.68
2025-04-13,CNC-101,Line A,Morning,Operator Break / Shift Change,19,44,5.52
2025-06-26,CNC-301,Line C,Afternoon,Unplanned Breakdown,86,30,9.06
2025-06-30,CNC-201,Line B,Afternoon,Tool Change / Wear,25,54,8.65
2025-07-12,CNC-301,Line C,Night,Changeover / Setup,33,30,9.03
2025-10-21,CNC-301,Line C,Morning,Tool Change / Wear,15,30,7.85
2025-09-03,CNC-201,Line B,Night,Unplanned Breakdown,227,53,7.41
2025-03-26,CNC-202,Line B,Morning,Preventive Maintenance,69,48,8.61
2025-05-28,CNC-301,Line C,Night,Tool Change / Wear,22,32,5.71
2025-04-25,CNC-202,Line B,Morning,Material Shortage,72,53,6.65
2025-03-05,CNC-102,Line A,Night,Quality Hold / Inspection,36,41,5.14
2025-05-31,CNC-102,Line A,Afternoon,Changeover / Setup,45,39,5.01
2025-11-01,CNC-201,Line B,Night,Tool Change / Wear,41,58,6.01
2025-03-08,CNC-101,Line A,Afternoon,Changeover / Setup,25,45,5.3
2025-03-12,CNC-102,Line A,Afternoon,Quality Hold / Inspection,27,35,6.08
2025-05-20,CNC-301,Line C,Night,Operator Break / Shift Change,10,29,4.51
2025-02-09,CNC-202,Line B,Afternoon,Preventive Maintenance,74,47,8.11
2025-04-13,CNC-102,Line A,Afternoon,Changeover / Setup,39,37,6.3
2025-02-24,CNC-301,Line C,Night,Preventive Maintenance,73,30,5.87
2025-02-14,CNC-101,Line A,Morning,Changeover / Setup,53,43,9.07
2025-07-10,CNC-202,Line B,Night,Tool Change / Wear,32,47,7.71
2025-03-14,CNC-202,Line B,Morning,Changeover / Setup,59,50,5.87
2025-09-12,CNC-101,Line A,Morning,Unplanned Breakdown,238,40,7.56
2025-10-15,CNC-101,Line A,Morning,Unplanned Breakdown,109,39,9.43
2025-01-20,CNC-101,Line A,Afternoon,Changeover / Setup,52,41,7.83
2025-05-04,CNC-202,Line B,Morning,Changeover / Setup,25,50,8.83
2025-02-22,CNC-202,Line B,Afternoon,Quality Hold / Inspection,21,49,8.73
2025-05-18,CNC-201,Line B,Night,Preventive Maintenance,49,54,8.06
2025-09-23,CNC-101,Line A,Night,Material Shortage,85,43,8.44
2025-10-03,CNC-201,Line B,Night,Operator Break / Shift Change,10,52,9.09
2025-11-26,CNC-102,Line A,Morning,Changeover / Setup,48,38,8.87
2025-05-25,CNC-201,Line B,Night,Tool Change / Wear,20,56,6.67
2025-02-03,CNC-101,Line A,Night,Changeover / Setup,57,42,6.03
2025-06-22,CNC-201,Line B,Morning,Unplanned Breakdown,65,56,7.02
2025-02-12,CNC-202,Line B,Afternoon,Operator Break / Shift Change,10,51,8.23
2025-10-27,CNC-202,Line B,Night,Material Shortage,63,49,5.42
2025-10-07,CNC-202,Line B,Night,Tool Change / Wear,16,47,4.85
2025-01-16,CNC-202,Line B,Night,Quality Hold / Inspection,50,53,6.53
2025-01-02,CNC-301,Line C,Morning,Quality Hold / Inspection,17,32,6.8
2025-07-16,CNC-102,Line A,Afternoon,Material Shortage,89,38,6.29
2025-07-17,CNC-101,Line A,Morning,Preventive Maintenance,79,42,7.77
2025-03-18,CNC-101,Line A,Night,Operator Break / Shift Change,20,40,8.47
2025-07-22,CNC-301,Line C,Night,Unplanned Breakdown,87,27,5.51
2025-12-01,CNC-201,Line B,Morning,Unplanned Breakdown,126,52,6.07
2025-10-04,CNC-301,Line C,Afternoon,Material Shortage,74,28,8.13
2025-02-26,CNC-101,Line A,Night,Material Shortage,52,40,6.4
2025-01-14,CNC-202,Line B,Night,Material Shortage,99,52,6.01
2025-05-13,CNC-102,Line A,Morning,Changeover / Setup,23,41,8.99
2025-09-19,CNC-201,Line B,Afternoon,Preventive Maintenance,77,52,5.53
2025-07-01,CNC-201,Line B,Morning,Operator Break / Shift Change,15,52,8.29
2025-12-17,CNC-102,Line A,Afternoon,Changeover / Setup,30,40,5.96
2025-03-20,CNC-101,Line A,Afternoon,Changeover / Setup,32,44,9.28
2025-02-21,CNC-101,Line A,Afternoon,Unplanned Breakdown,165,41,8.64
2025-01-06,CNC-201,Line B,Morning,Changeover / Setup,52,58,5.39
2025-10-01,CNC-101,Line A,Morning,Material Shortage,53,45,7.14
2025-09-20,CNC-202,Line B,Afternoon,Tool Change / Wear,41,53,9.1
2025-05-07,CNC-301,Line C,Afternoon,Quality Hold / Inspection,28,30,5.84
2025-07-22,CNC-301,Line C,Afternoon,Preventive Maintenance,82,27,5.65
2025-07-19,CNC-201,Line B,Afternoon,Material Shortage,58,56,6.53
2025-03-06,CNC-201,Line B,Morning,Unplanned Breakdown,212,55,5.27
2025-02-01,CNC-102,Line A,Afternoon,Changeover / Setup,20,40,7.17
2025-09-05,CNC-301,Line C,Morning,Material Shortage,58,32,7.86
2025-11-01,CNC-101,Line A,Night,Changeover / Setup,46,40,7.28
2025-02-23,CNC-301,Line C,Night,Quality Hold / Inspection,32,27,5.4
2025-07-04,CNC-201,Line B,Afternoon,Unplanned Breakdown,128,58,8.43
2025-12-22,CNC-102,Line A,Night,Unplanned Breakdown,208,39,8.07
2025-04-01,CNC-101,Line A,Morning,Quality Hold / Inspection,17,40,6.59
2025-09-15,CNC-301,Line C,Afternoon,Changeover / Setup,42,27,9.35
2025-06-21,CNC-101,Line A,Afternoon,Operator Break / Shift Change,13,40,7.97
2025-03-10,CNC-202,Line B,Night,Tool Change / Wear,31,49,4.84
2025-05-02,CNC-102,Line A,Afternoon,Material Shortage,66,36,5.44
2025-06-20,CNC-102,Line A,Afternoon,Material Shortage,81,38,9.33
2025-10-22,CNC-101,Line A,Morning,Quality Hold / Inspection,16,42,6.82
2025-10-11,CNC-202,Line B,Night,Tool Change / Wear,29,51,5.35
2025-01-20,CNC-102,Line A,Night,Changeover / Setup,55,36,5.46
2025-11-24,CNC-201,Line B,Morning,Material Shortage,72,57,6.61
2025-06-12,CNC-301,Line C,Night,Preventive Maintenance,70,32,9.12
2025-09-26,CNC-301,Line C,Night,Operator Break / Shift Change,12,28,4.56
2025-03-13,CNC-301,Line C,Afternoon,Changeover / Setup,26,27,6.14
2025-07-27,CNC-102,Line A,Afternoon,Preventive Maintenance,47,40,6.42
2025-11-05,CNC-101,Line A,Morning,Preventive Maintenance,79,44,7.26
2025-10-30,CNC-201,Line B,Morning,Tool Change / Wear,44,57,6.31
2025-10-13,CNC-202,Line B,Morning,Operator Break / Shift Change,15,51,5.33
2025-07-27,CNC-202,Line B,Morning,Unplanned Breakdown,228,53,7.09
2025-05-03,CNC-202,Line B,Night,Operator Break / Shift Change,17,51,7.05
2025-08-06,CNC-102,Line A,Night,Unplanned Breakdown,132,37,6.13
2025-05-06,CNC-201,Line B,Morning,Quality Hold / Inspection,47,57,8.58
2025-04-02,CNC-301,Line C,Morning,Preventive Maintenance,65,27,6.5
2025-11-23,CNC-102,Line A,Morning,Tool Change / Wear,41,40,7.81
2025-05-25,CNC-201,Line B,Afternoon,Material Shortage,93,52,6.41
2025-06-29,CNC-301,Line C,Afternoon,Preventive Maintenance,80,28,7.77
2025-03-21,CNC-201,Line B,Night,Operator Break / Shift Change,13,58,7.36
2025-07-18,CNC-102,Line A,Morning,Changeover / Setup,22,36,8.31
2025-04-26,CNC-102,Line A,Afternoon,Preventive Maintenance,82,40,7.38
2025-03-16,CNC-101,Line A,Morning,Material Shortage,96,42,9.07
2025-11-11,CNC-301,Line C,Afternoon,Material Shortage,116,27,9.36
2025-03-20,CNC-202,Line B,Night,Preventive Maintenance,86,48,7.46
2025-02-01,CNC-102,Line A,Morning,Quality Hold / Inspection,27,37,5.64
2025-04-05,CNC-202,Line B,Night,Quality Hold / Inspection,28,53,5.74
2025-12-28,CNC-301,Line C,Morning,Material Shortage,105,27,6.96
2025-05-30,CNC-301,Line C,Night,Quality Hold / Inspection,35,27,4.61
2025-12-26,CNC-202,Line B,Night,Material Shortage,107,48,8.31
2025-02-27,CNC-101,Line A,Afternoon,Operator Break / Shift Change,20,42,5.95
2025-09-03,CNC-202,Line B,Night,Quality Hold / Inspection,23,49,7.94
2025-12-31,CNC-101,Line A,Morning,Material Shortage,33,42,7.67
2025-08-01,CNC-102,Line A,Night,Operator Break / Shift Change,20,38,7.57
2025-01-24,CNC-101,Line A,Night,Quality Hold / Inspection,41,43,8.24
2025-08-23,CNC-301,Line C,Night,Preventive Maintenance,79,28,6.38
2025-09-07,CNC-101,Line A,Afternoon,Unplanned Breakdown,134,42,6.49
2025-03-12,CNC-102,Line A,Morning,Material Shortage,110,36,8.56
2025-08-02,CNC-202,Line B,Morning,Preventive Maintenance,74,49,7.95
2025-02-18,CNC-202,Line B,Morning,Unplanned Breakdown,63,49,8.45
2025-07-12,CNC-202,Line B,Night,Preventive Maintenance,50,49,5.55
2025-07-16,CNC-101,Line A,Night,Material Shortage,65,45,6.3
2025-08-28,CNC-202,Line B,Night,Material Shortage,80,52,7.36
2025-10-28,CNC-101,Line A,Morning,Unplanned Breakdown,196,41,5.11
2025-06-30,CNC-101,Line A,Morning,Operator Break / Shift Change,20,41,8.08
2025-01-16,CNC-301,Line C,Afternoon,Unplanned Breakdown,101,33,8.55
2025-11-17,CNC-102,Line A,Morning,Changeover / Setup,56,35,8.54
2025-08-23,CNC-102,Line A,Night,Preventive Maintenance,66,40,5.29
2025-02-17,CNC-202,Line B,Night,Tool Change / Wear,36,48,7.71
2025-09-03,CNC-301,Line C,Night,Changeover / Setup,24,31,7.16
2025-09-22,CNC-101,Line A,Afternoon,Preventive Maintenance,81,40,7.04
2025-03-15,CNC-201,Line B,Night,Changeover / Setup,43,55,8.32
2025-04-07,CNC-301,Line C,Morning,Preventive Maintenance,70,31,5.14
2025-01-05,CNC-102,Line A,Afternoon,Operator Break / Shift Change,15,36,7.78
2025-02-09,CNC-201,Line B,Night,Quality Hold / Inspection,39,55,9.44
2025-03-18,CNC-102,Line A,Afternoon,Tool Change / Wear,26,39,7.36
2025-10-07,CNC-201,Line B,Afternoon,Unplanned Breakdown,217,57,5.03
2025-01-24,CNC-301,Line C,Afternoon,Preventive Maintenance,87,27,4.92
2025-02-17,CNC-301,Line C,Morning,Tool Change / Wear,40,29,5.72
2025-02-22,CNC-101,Line A,Night,Quality Hold / Inspection,23,43,4.8
2025-12-05,CNC-201,Line B,Night,Material Shortage,66,57,8.26
2025-04-14,CNC-102,Line A,Afternoon,Unplanned Breakdown,157,39,8.67
2025-04-06,CNC-202,Line B,Afternoon,Quality Hold / Inspection,34,52,4.61
2025-05-13,CNC-202,Line B,Night,Tool Change / Wear,26,49,5.16
2025-12-30,CNC-102,Line A,Afternoon,Unplanned Breakdown,66,40,4.79
2025-06-06,CNC-101,Line A,Afternoon,Material Shortage,53,41,8.93
2025-02-12,CNC-101,Line A,Afternoon,Quality Hold / Inspection,34,40,9.5
2025-11-09,CNC-301,Line C,Night,Material Shortage,116,27,6.48
2025-12-10,CNC-101,Line A,Morning,Changeover / Setup,26,42,7.17
2025-12-28,CNC-201,Line B,Afternoon,Quality Hold / Inspection,18,56,7.11
2025-08-28,CNC-201,Line B,Afternoon,Material Shortage,119,53,8.31
2025-01-25,CNC-202,Line B,Afternoon,Material Shortage,65,53,9.26
2025-09-04,CNC-201,Line B,Night,Material Shortage,68,55,8.23
2025-11-28,CNC-201,Line B,Afternoon,Quality Hold / Inspection,32,54,8.23
2025-11-27,CNC-202,Line B,Afternoon,Preventive Maintenance,61,48,4.95
2025-06-16,CNC-201,Line B,Afternoon,Operator Break / Shift Change,10,57,6.99
2025-02-08,CNC-102,Line A,Afternoon,Operator Break / Shift Change,12,41,4.85
2025-07-29,CNC-202,Line B,Morning,Material Shortage,81,51,4.52
2025-01-23,CNC-101,Line A,Afternoon,Operator Break / Shift Change,14,40,5.86
2025-02-19,CNC-101,Line A,Afternoon,Tool Change / Wear,38,39,6.88
2025-01-16,CNC-201,Line B,Morning,Material Shortage,46,52,6.04
2025-11-21,CNC-202,Line B,Night,Changeover / Setup,25,50,9.22
2025-11-06,CNC-301,Line C,Afternoon,Quality Hold / Inspection,22,27,4.59
2025-03-21,CNC-301,Line C,Night,Quality Hold / Inspection,40,29,6.77
2025-12-04,CNC-301,Line C,Morning,Preventive Maintenance,69,27,6.49
2025-01-07,CNC-202,Line B,Morning,Tool Change / Wear,17,52,6.93
2025-12-20,CNC-301,Line C,Afternoon,Material Shortage,46,31,9.46
2025-12-30,CNC-202,Line B,Night,Preventive Maintenance,60,50,7.04
2025-08-30,CNC-102,Line A,Afternoon,Unplanned Breakdown,112,39,7.12
2025-02-14,CNC-202,Line B,Night,Tool Change / Wear,19,53,9.33
2025-02-23,CNC-301,Line C,Morning,Quality Hold / Inspection,34,29,6.26
2025-08-25,CNC-301,Line C,Morning,Material Shortage,118,32,7.38
2025-07-19,CNC-102,Line A,Night,Operator Break / Shift Change,14,41,8.21
2025-07-26,CNC-102,Line A,Night,Material Shortage,119,36,5.0
2025-04-01,CNC-102,Line A,Night,Operator Break / Shift Change,14,35,4.55
2025-11-18,CNC-101,Line A,Afternoon,Preventive Maintenance,58,41,5.83
2025-11-27,CNC-102,Line A,Morning,Preventive Maintenance,86,39,7.63
2025-05-29,CNC-202,Line B,Afternoon,Quality Hold / Inspection,46,51,6.05
2025-11-03,CNC-101,Line A,Afternoon,Operator Break / Shift Change,12,41,5.32
